"","X","Attrition","Age","DistanceFromHome","Education","EnvironmentSatisfaction","JobInvolvement","JobLevel","JobSatisfaction","MonthlyIncome","NumCompaniesWorked","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition_No","BusinessTravel_Travel_Frequently","BusinessTravel_Non-Travel","Department_Research & Development","Department_Human Resources","EducationField_Other","EducationField_Medical","EducationField_Marketing","EducationField_Technical Degree","EducationField_Human Resources","Gender_Male","JobRole_Research Scientist","JobRole_Laboratory Technician","JobRole_Manufacturing Director","JobRole_Healthcare Representative","JobRole_Manager","JobRole_Sales Representative","JobRole_Research Director","JobRole_Human Resources","MaritalStatus_Married","MaritalStatus_Divorced","OverTime_No","predicted_value"
"35","35","Yes","0.142857142857143","0","0.5","0.333333333333333","0.666666666666667","0","1","0.0676145339652449","0.222222222222222","0.357142857142857","0","0","0.333333333333333","0.15","0.333333333333333","0.333333333333333","0.05","0","0.133333333333333","0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","Yes"
"39","39","No","0.428571428571429","0.142857142857143","0.75","0.333333333333333","0.333333333333333","0","0","0.126908899420748","1","0.214285714285714","0","1","0.333333333333333","0.15","0.5","1","0.025","0.0555555555555556","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","No"
"41","41","No","0.404761904761905","0.107142857142857","0.25","0.666666666666667","0.666666666666667","0","1","0.0496050552922591","0.111111111111111","0.0714285714285714","0","0.666666666666667","0.333333333333333","0.025","0.5","0.666666666666667","0.025","0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","No"
"42","42","No","0.214285714285714","0.0357142857142857","0.75","1","0.666666666666667","0","0","0.0701421800947867","0.111111111111111","0.142857142857143","0","1","0.333333333333333","0.025","1","0.666666666666667","0.025","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","Yes"
"43","43","Yes","0.19047619047619","0.857142857142857","0.5","0","0","0","0.666666666666667","0.0676145339652449","0.111111111111111","0.0714285714285714","0","0.666666666666667","0","0.025","0.333333333333333","0.333333333333333","0.025","0","0","0.0588235294117647","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","Yes"
"44","44","No","0.214285714285714","0.25","0.5","1","0.666666666666667","0.5","0.666666666666667","0.40637177461822","0.111111111111111","0.285714285714286","0","1","0","0.225","0","0.666666666666667","0.225","0.444444444444444","0.0666666666666667","0.411764705882353","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","No"
"46","46","Yes","0.547619047619048","0.392857142857143","0.5","0.333333333333333","0.666666666666667","1","0.666666666666667","0.976092680358083","0.111111111111111","0.0714285714285714","0","1","0","0.575","0","0.666666666666667","0.55","0.833333333333333","1","0.470588235294118","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","No"
"53","53","No","0.619047619047619","0","1","0.333333333333333","0.666666666666667","0.25","0","0.23407056345445","0.555555555555556","0.714285714285714","1","0.666666666666667","0.333333333333333","0.225","0.333333333333333","0.333333333333333","0.1","0.166666666666667","0.0666666666666667","0.176470588235294","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","No"
"60","60","No","0.452380952380952","0","0.75","0","0.333333333333333","0.25","0.666666666666667","0.26245392311743","0.111111111111111","0.5","0","0.666666666666667","0.333333333333333","0.175","0.333333333333333","1","0.175","0.277777777777778","0","0.411764705882353","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","No"
"61","61","No","0.333333333333333","0","0.5","0","0.666666666666667","0.25","1","0.271353343865192","0.111111111111111","0.785714285714286","1","0.333333333333333","0.333333333333333","0.225","0.5","0.666666666666667","0.225","0.444444444444444","0.466666666666667","0.470588235294118","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","No"
"65","65","No","0.428571428571429","0.25","0.5","0.666666666666667","0.666666666666667","0.5","0.666666666666667","0.478515007898894","0.111111111111111","0.142857142857143","0","0.333333333333333","1","0.425","0.333333333333333","0.666666666666667","0.425","0.777777777777778","0.8","0.470588235294118","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","No"
"67","67","No","0.428571428571429","0.357142857142857","0.5","0.333333333333333","0.333333333333333","0.25","0.333333333333333","0.289099526066351","0.111111111111111","0.142857142857143","0","0.666666666666667","0","0.15","0.5","0.666666666666667","0.15","0.277777777777778","0","0.176470588235294","1","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","No"
"69","69","No","0.404761904761905","0","0.5","0.333333333333333","0.666666666666667","0","0","0.0624012638230648","0.444444444444444","0.142857142857143","0","1","0.333333333333333","0.125","0.333333333333333","0.333333333333333","0.075","0.111111111111111","0.0666666666666667","0.117647058823529","1","1","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","No"
"85","85","No","0.380952380952381","0","0.25","0","0.666666666666667","0.25","0.333333333333333","0.17461822011585","0.111111111111111","0.285714285714286","0","0.666666666666667","0","0.125","0.333333333333333","0.666666666666667","0.125","0.111111111111111","0.0666666666666667","0.176470588235294","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","No"
"88","88","No","0.785714285714286","0.285714285714286","0.75","1","0.666666666666667","0","1","0.0561348077935756","0.333333333333333","0.857142857142857","1","0.333333333333333","0.666666666666667","0.25","0.666666666666667","0.666666666666667","0.1","0.111111111111111","0","0.176470588235294","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","No"
"90","90","Yes","0.666666666666667","0.285714285714286","0.25","0.666666666666667","0.333333333333333","0.5","1","0.453396524486572","0.111111111111111","0.357142857142857","0","1","0","0.225","0.5","0.666666666666667","0.225","0.444444444444444","0.266666666666667","0.411764705882353","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Yes"
"91","91","No","0.523809523809524","0","0.75","0.666666666666667","0.333333333333333","0.75","0.333333333333333","0.657925223802001","0.111111111111111","0.785714285714286","1","1","0.333333333333333","0.55","0.5","0.333333333333333","0.55","0.166666666666667","0.733333333333333","0.647058823529412","1","1","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","1","No"
"93","93","No","0.285714285714286","0.107142857142857","0.25","0.666666666666667","0.333333333333333","0.25","0.333333333333333","0.221169036334913","0.111111111111111","0.0714285714285714","0","0.333333333333333","1","0.275","0.666666666666667","0.333333333333333","0.275","0.444444444444444","0.133333333333333","0.411764705882353","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","No"
"95","95","No","0.333333333333333","0.178571428571429","0.75","0.333333333333333","0.666666666666667","0.25","0.666666666666667","0.210689836756187","0.111111111111111","0.357142857142857","0","0","0","0.3","0","0.666666666666667","0.275","0.444444444444444","0.333333333333333","0.411764705882353","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","No"
"98","98","No","0.238095238095238","0.107142857142857","0.5","0.333333333333333","0.666666666666667","0.25","0.666666666666667","0.169141653501843","0.111111111111111","0.285714285714286","0","0.333333333333333","0","0.125","0.5","1","0.125","0.222222222222222","0","0.235294117647059","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","No"
"99","99","No","0.952380952380952","0.321428571428571","0.75","1","0.666666666666667","0.75","0.666666666666667","0.677356503422854","0","0.142857142857143","0","0.666666666666667","0","0.95","0.166666666666667","0.333333333333333","0.925","0.555555555555556","0.0666666666666667","0.470588235294118","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","No"
"101","101","Yes","0.452380952380952","0.178571428571429","0.75","0.666666666666667","0.666666666666667","0","0","0.0560294892048447","0.444444444444444","0.785714285714286","1","1","0","0.175","0.5","0.666666666666667","0.075","0.111111111111111","0","0.117647058823529","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","Yes"
"104","104","No","0.380952380952381","0.178571428571429","0.75","0","0.666666666666667","0.25","0.666666666666667","0.200105318588731","0.111111111111111","0.214285714285714","0","0.666666666666667","0","0.4","0.5","0.666666666666667","0.4","0.722222222222222","0.133333333333333","0.588235294117647","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","No"
"107","107","No","0.761904761904762","0","0.5","0","0.666666666666667","1","0.333333333333333","0.903791469194313","0.333333333333333","0.571428571428571","0","0","0","0.7","0.166666666666667","0.333333333333333","0.2","0.166666666666667","0","0.411764705882353","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","No"
"114","114","No","0.142857142857143","0.607142857142857","0","0.333333333333333","0.666666666666667","0","0.666666666666667","0.092943654555029","0","0.0714285714285714","0","0.666666666666667","0.333333333333333","0.15","0.333333333333333","0.666666666666667","0.125","0.166666666666667","0.0666666666666667","0.117647058823529","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","0","1","No"
"116","116","No","0.452380952380952","0.0714285714285714","0.5","0.666666666666667","0.666666666666667","0.5","1","0.338020010531859","0.222222222222222","0.0714285714285714","0","0","0","0.3","0.5","0.666666666666667","0.125","0.166666666666667","0.0666666666666667","0.176470588235294","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","No"
"117","117","No","0.380952380952381","0.142857142857143","0.5","0.666666666666667","0.333333333333333","0.5","0","0.559347024749868","0.222222222222222","0.0714285714285714","0","1","0","0.35","1","0.666666666666667","0.275","0.555555555555556","0.333333333333333","0.470588235294118","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","No"
"118","118","No","0.428571428571429","0.357142857142857","0.25","0.333333333333333","0.666666666666667","0.5","1","0.459662980516061","0","0.214285714285714","0","0.666666666666667","0.333333333333333","0.25","1","0.666666666666667","0.225","0.388888888888889","0.133333333333333","0.470588235294118","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","No"
"123","123","Yes","0.904761904761905","0.464285714285714","0.75","0.333333333333333","0.666666666666667","0","0.333333333333333","0.208214849921011","1","0.5","0","0","1","0.175","0.333333333333333","0.666666666666667","0.125","0.222222222222222","0.266666666666667","0.176470588235294","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","Yes"
"125","125","Yes","0.30952380952381","0.178571428571429","0.75","0.333333333333333","0","0.25","0.666666666666667","0.271879936808847","0.444444444444444","0.5","0","0.333333333333333","0","0.3","0.5","0.333333333333333","0.175","0.388888888888889","0.466666666666667","0.411764705882353","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","Yes"
"126","126","No","0.19047619047619","0.178571428571429","0.5","0.666666666666667","0.333333333333333","0","0.333333333333333","0.071563981042654","0.111111111111111","0.571428571428571","0","0.666666666666667","0","0.125","0.5","0.333333333333333","0.125","0.222222222222222","0.266666666666667","0.176470588235294","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","No"
"127","127","Yes","0.952380952380952","0.785714285714286","0.75","1","0.666666666666667","0.5","1","0.489889415481833","0.111111111111111","0.0714285714285714","0","1","0.333333333333333","1","0.5","0.333333333333333","1","0.555555555555556","1","0.352941176470588","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","Yes"
"129","129","No","0.0952380952380952","0.0357142857142857","0","0.666666666666667","0.666666666666667","0","1","0.0797261716692996","0","0.214285714285714","0","0.666666666666667","0.333333333333333","0.075","0.333333333333333","0.666666666666667","0.05","0.0555555555555556","0.133333333333333","0.0588235294117647","1","0","0","1","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","1","0","1","No"
"137","137","Yes","0.785714285714286","0.25","0.75","0","0","0.5","1","0.507688256977357","0.222222222222222","0.285714285714286","0","1","0","0.45","0.333333333333333","0.666666666666667","0.1","0.111111111111111","0","0.176470588235294","0","1","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","No"
"139","139","No","0.166666666666667","0.964285714285714","0.5","0","0.333333333333333","0.25","0.666666666666667","0.401790416008425","0.222222222222222","0.5","0","1","0","0.15","0.5","0.666666666666667","0.05","0.111111111111111","0.133333333333333","0.117647058823529","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","No"
"141","141","Yes","0.333333333333333","0.285714285714286","0.5","0","0.666666666666667","0","0","0.168035808320169","0.777777777777778","0.785714285714286","1","0","0","0.25","0.333333333333333","1","0.125","0.222222222222222","0","0.235294117647059","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","Yes"
"144","144","No","0.285714285714286","0.607142857142857","0.5","0","0.666666666666667","0","0.666666666666667","0.0854660347551343","0.111111111111111","0.214285714285714","0","0.666666666666667","0","0.125","0.666666666666667","0.333333333333333","0.125","0.222222222222222","0","0.235294117647059","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","No"
"151","151","No","0.523809523809524","0.892857142857143","0.5","0.333333333333333","0.666666666666667","0.25","0.333333333333333","0.242022116903633","0.111111111111111","0","0","0","0.333333333333333","0.5","0.333333333333333","0.666666666666667","0.5","0.388888888888889","0.133333333333333","0.764705882352941","1","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","No"
"161","161","No","0.0952380952380952","0.642857142857143","0","0.666666666666667","0.666666666666667","0","1","0.0691943127962085","0.111111111111111","0.928571428571429","1","0","0.666666666666667","0.05","1","0.666666666666667","0.05","0.111111111111111","0.133333333333333","0.117647058823529","1","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","No"
"163","163","No","0.238095238095238","0.714285714285714","0.5","0.666666666666667","0.666666666666667","0","1","0.0897314375987362","0.111111111111111","0","0","0.666666666666667","0.333333333333333","0.125","0.333333333333333","0","0.125","0.111111111111111","0","0.117647058823529","1","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","No"
"168","168","No","0.285714285714286","0.142857142857143","0.5","0.333333333333333","0.666666666666667","0.5","1","0.442864665613481","0.222222222222222","0.0714285714285714","0","0.666666666666667","0.333333333333333","0.3","0.333333333333333","0.666666666666667","0.25","0.5","0.466666666666667","0.235294117647059","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","No"
"171","171","No","0.214285714285714","0.571428571428571","0.5","0.666666666666667","0.666666666666667","0","0.333333333333333","0.107898894154818","0","0.357142857142857","0","1","0.333333333333333","0.15","0.5","0.333333333333333","0.125","0.111111111111111","0.0666666666666667","0.0588235294117647","1","0","0","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","No"
"175","175","No","0.642857142857143","0.107142857142857","0.25","0.666666666666667","0.666666666666667","0.25","0","0.210479199578726","0.444444444444444","0","0","0","0.333333333333333","0.225","0.5","1","0.125","0.222222222222222","0","0.176470588235294","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","No"
"176","176","No","0.904761904761905","0.25","0.5","0.666666666666667","0.666666666666667","0","0","0.171037388098999","0.444444444444444","0.5","0","0.666666666666667","0.333333333333333","0.475","0.5","0.666666666666667","0.05","0.111111111111111","0.133333333333333","0.117647058823529","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","No"
"177","177","No","0.357142857142857","0.0357142857142857","0.5","0.666666666666667","0.666666666666667","0","1","0.0785150078988942","0","0.214285714285714","0","0","0","0.1","0.333333333333333","1","0.075","0.0555555555555556","0","0.117647058823529","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","No"
"182","182","No","0.380952380952381","0.928571428571429","0.25","1","0.666666666666667","0","0.333333333333333","0.0685624012638231","0.222222222222222","0.285714285714286","0","1","0","0.225","0.5","0.666666666666667","0.075","0.111111111111111","0.0666666666666667","0.117647058823529","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","No"
"193","193","Yes","0.404761904761905","0.785714285714286","0.25","0.333333333333333","0.333333333333333","0.25","0.666666666666667","0.25839915745129","0.333333333333333","0.142857142857143","0","0","0","0.2","0.166666666666667","0.666666666666667","0.025","0","0","0.0588235294117647","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","No"
"194","194","No","0.595238095238095","0.214285714285714","0.5","1","1","0","1","0.0568720379146919","0.444444444444444","0.214285714285714","0","1","1","0.175","0.5","1","0.125","0.222222222222222","0.133333333333333","0.117647058823529","1","0","1","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","No"
"198","198","No","0.571428571428571","0.714285714285714","0.25","0.666666666666667","0.666666666666667","0.25","0.666666666666667","0.224117956819379","0.222222222222222","0.357142857142857","0","0.333333333333333","0.333333333333333","0.275","0.833333333333333","0.666666666666667","0.125","0.166666666666667","0","0.117647058823529","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","No"
"199","199","No","0.476190476190476","0.0357142857142857","0.75","1","0.666666666666667","0.25","0.666666666666667","0.291943127962085","1","0.214285714285714","0","0.333333333333333","0","0.35","0.5","0.666666666666667","0.025","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","1","No"
"202","202","No","0.738095238095238","0.607142857142857","0.75","1","0.666666666666667","0.25","1","0.305160610847815","0.111111111111111","0.285714285714286","0","0","0.666666666666667","0.175","0","0.666666666666667","0.175","0.388888888888889","0.0666666666666667","0.411764705882353","1","0","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","No"
"204","204","No","0.523809523809524","0.642857142857143","0.25","0.666666666666667","0.666666666666667","0.25","1","0.0912058978409689","0.888888888888889","0.285714285714286","0","0.666666666666667","0.333333333333333","0.375","0.333333333333333","1","0.175","0.111111111111111","0.2","0.411764705882353","1","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","No"
"207","207","No","0.0952380952380952","0.142857142857143","0.5","1","1","0","0.333333333333333","0.0694576092680358","0.111111111111111","0.357142857142857","0","0","0.333333333333333","0.1","0.333333333333333","0.333333333333333","0.1","0.111111111111111","0.133333333333333","0.117647058823529","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","No"
"211","211","Yes","0.333333333333333","0.107142857142857","0.75","1","0","0.5","1","0.494523433385993","0.111111111111111","0","0","0.666666666666667","0","0.35","0.333333333333333","0.333333333333333","0.35","0.444444444444444","0.6","0.470588235294118","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","Yes"
"215","215","Yes","0.285714285714286","0.0714285714285714","0.5","1","0.666666666666667","0","0","0.0867825171142707","0.555555555555556","0","0","0.666666666666667","0","0.2","0.833333333333333","0.666666666666667","0.125","0.111111111111111","0","0.235294117647059","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","Yes"
"229","229","No","0.404761904761905","0","0.5","0.666666666666667","0.666666666666667","0.5","0.666666666666667","0.409689310163244","0.111111111111111","0.214285714285714","0","0","0","0.25","0.5","1","0.25","0.388888888888889","0","0.470588235294118","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","No"
"231","231","No","0.80952380952381","0.0357142857142857","0.5","0.666666666666667","0.333333333333333","0","1","0.116008425487098","0.777777777777778","0.285714285714286","0","0.333333333333333","0","0.15","0.5","0.333333333333333","0.05","0.111111111111111","0.133333333333333","0.117647058823529","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","No"
"232","232","No","0.571428571428571","0.107142857142857","0.25","0.666666666666667","0.666666666666667","1","1","0.959610321221696","0.111111111111111","0","0","1","0","0.55","0.5","0.666666666666667","0.55","0.944444444444444","0.733333333333333","0.882352941176471","1","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","1","0","1","No"
"247","247","No","0.357142857142857","0.142857142857143","0.75","0.666666666666667","0.333333333333333","0","1","0.100157977883096","0.111111111111111","0.142857142857143","0","0.666666666666667","0.333333333333333","0.05","0.333333333333333","0.333333333333333","0.05","0.111111111111111","0","0.117647058823529","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","No"
"249","249","No","0.452380952380952","0","0.25","0.666666666666667","0.333333333333333","0","0","0.153291205897841","0.222222222222222","0.214285714285714","0","0","0.333333333333333","0.425","0.333333333333333","0.333333333333333","0.075","0.0555555555555556","0","0.117647058823529","1","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","1","No"
"253","253","No","0.261904761904762","0.5","0.5","0.666666666666667","0.666666666666667","0","1","0.0700895208004213","0.111111111111111","0.571428571428571","0","0","0","0.15","0.166666666666667","0.666666666666667","0.15","0.277777777777778","0.0666666666666667","0.294117647058824","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","No"
"254","254","No","0.571428571428571","0.571428571428571","0.25","1","1","0.25","0","0.291521853607162","0.333333333333333","0.142857142857143","0","0.666666666666667","0","0.25","0.166666666666667","0.666666666666667","0.075","0.111111111111111","0","0.117647058823529","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","No"
"258","258","No","0.523809523809524","0.0357142857142857","0.25","0","0.666666666666667","1","0.666666666666667","0.970352817272249","0","0.571428571428571","0","1","0.333333333333333","0.55","0.833333333333333","0.666666666666667","0.525","0.388888888888889","0.2","0.529411764705882","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","No"
"264","264","No","0.666666666666667","0.0357142857142857","0.5","0.666666666666667","0","0.75","0.333333333333333","0.835334386519221","0.333333333333333","0.0714285714285714","0","0.333333333333333","0.333333333333333","0.7","0.333333333333333","0.333333333333333","0.175","0.388888888888889","0.466666666666667","0.411764705882353","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","No"
"265","265","Yes","0.238095238095238","0.0357142857142857","0.75","0","0.666666666666667","0","0.666666666666667","0.130384412848868","0.222222222222222","0","0","0.666666666666667","0","0.125","0.833333333333333","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","Yes"
